inscription_id,sign_sequence,site,object_type,line_count,damaged,reading_direction
SYN-00093,S072 S001 S013 S001,Harappa,tablet,1,False,R-L
SYN-00094,S003 S001,Kalibangan,seal,2,False,R-L
SYN-00095,S030 S061 S010 S034 S017 S005 S075 S001,Mohenjo-daro,seal,1,False,R-L
SYN-00096,S030 S001 S002 S001,Kalibangan,pottery,1,True,R-L
SYN-00097,S005 S001 S064 S092,Mohenjo-daro,seal,1,False,R-L
SYN-00098,S001 S038 S023 S012 S029 S045 S054 S005 S001 S001,Mohenjo-daro,tablet,2,False,R-L
SYN-00099,S004 S069 S012,Dholavira,seal,1,False,R-L
SYN-00100,S003 S015 S001,Harappa,seal,1,False,R-L
SYN-00101,S004 S069 S108 S001,Harappa,ivory,1,False,R-L
SYN-00102,S005,Harappa,copper_plate,1,False,R-L
SYN-00103,S003 S001,Kalibangan,pottery,1,False,R-L
SYN-00104,S004 S037 S001,Dholavira,copper_plate,1,False,R-L
SYN-00105,S004 S022 S002,Kalibangan,tablet,1,False,R-L
SYN-00106,S004 S069 S003,Kalibangan,seal,1,False,R-L
SYN-00107,S005 S004 S069 S005 S075 S002,Lothal,tablet,1,False,R-L
SYN-00108,S004 S118 S077 S003,Lothal,tablet,1,False,R-L
SYN-00109,S003 S002 S079 S005 S011 S001,Lothal,seal,1,False,R-L
SYN-00110,S005 S075 S060 S030 S019 S058,Kalibangan,pottery,1,False,R-L
SYN-00111,S024 S074 S006 S065 S002 S009 S032,Dholavira,seal,1,False,R-L
SYN-00112,S005 S003 S025 S043 S008 S054 S106 S001,Harappa,seal,1,False,R-L
SYN-00113,S005 S075 S003 S012 S001,Dholavira,seal,1,False,R-L
SYN-00114,S002 S112 S007 S001 S001,Dholavira,copper_plate,1,False,R-L
SYN-00115,S027 S018 S001 S001,Harappa,ivory,2,False,R-L
SYN-00116,S003 S049 S023 S011 S073 S004 S007,Dholavira,seal,1,False,R-L
SYN-00117,S005 S075 S043 S044,Lothal,ivory,1,False,R-L
SYN-00118,S047 S007 S006,Mohenjo-daro,tablet,1,False,R-L
SYN-00119,S004 S001,Harappa,seal,2,False,R-L
SYN-00120,S003 S001 S001,Harappa,pottery,1,False,R-L
SYN-00121,S003 S003 S008 S054 S021 S029 S001,Lothal,seal,1,False,R-L
SYN-00122,S010 S069 S016 S001 S001,Mohenjo-daro,seal,1,False,R-L
SYN-00123,S030 S001 S001,Harappa,pottery,1,False,R-L
SYN-00124,S057 S001,Lothal,tablet,1,False,R-L
SYN-00125,S005 S075 S036 S120 S001,Harappa,seal,1,False,R-L
SYN-00126,S005 S075 S012 S041,Dholavira,seal,1,False,R-L
SYN-00127,S004 S001,Lothal,pottery,1,False,R-L
SYN-00128,S003 S006 S065 S001,Mohenjo-daro,seal,1,False,R-L
SYN-00129,S009 S012 S029 S002 S001 S012,Kalibangan,copper_plate,1,False,R-L
SYN-00130,S030 S028,Dholavira,tablet,1,False,R-L
SYN-00131,S005 S075 S001,Lothal,pottery,1,False,R-L
SYN-00132,S063 S090 S001 S001 S017 S079,Mohenjo-daro,pottery,1,False,R-L
SYN-00133,S005 S010 S001 S008 S054 S110,Mohenjo-daro,seal,1,False,R-L
SYN-00134,S009,Mohenjo-daro,seal,1,True,R-L
SYN-00135,S004 S069 S033 S004 S003,Harappa,tablet,1,True,R-L
SYN-00136,S011 S004 S033 S001 S001 S025 S001,Harappa,copper_plate,1,False,R-L
SYN-00137,S020 S016 S094 S034 S011 S001,Harappa,tablet,2,False,R-L
SYN-00138,S092 S044 S005,Kalibangan,seal,2,True,R-L
SYN-00139,S108 S054 S020 S016 S001,Kalibangan,pottery,1,False,R-L
SYN-00140,S006 S065 S002 S082 S044,Kalibangan,seal,1,False,R-L
SYN-00141,S047 S016 S043 S013 S015 S075 S008,Harappa,seal,1,False,R-L
SYN-00142,S084 S056 S001 S008 S054 S007,Kalibangan,pottery,1,True,R-L
SYN-00143,S014 S012 S029 S003 S001 S001,Kalibangan,seal,1,False,R-L
SYN-00144,S004 S069 S002 S023 S002,Kalibangan,tablet,1,False,R-L
SYN-00145,S003,Dholavira,tablet,1,False,R-L
SYN-00146,S003 S093 S041 S051 S004,Harappa,seal,1,True,R-L
SYN-00147,S003 S016 S065 S011 S078 S001 S020 S016 S001,Mohenjo-daro,copper_plate,1,False,R-L
SYN-00148,S003 S007 S001,Lothal,seal,2,False,R-L
SYN-00149,S001 S081 S001,Dholavira,seal,1,False,R-L
SYN-00150,S027 S005 S075 S039 S039 S001 S001,Harappa,seal,1,False,R-L
SYN-00151,S080 S072 S011 S047 S002 S055 S001,Dholavira,copper_plate,1,False,R-L
SYN-00152,S003 S010 S006 S012 S029 S001 S001,Kalibangan,pottery,1,True,R-L
SYN-00153,S003 S004 S069 S001 S001,Harappa,seal,1,False,R-L
SYN-00154,S003 S108 S001 S073 S026 S001,Harappa,ivory,1,False,R-L
SYN-00155,S004 S084 S056 S005 S001 S005,Kalibangan,seal,1,False,R-L
SYN-00156,S014 S003 S010 S003,Harappa,seal,1,False,R-L
SYN-00157,S003 S003 S001 S001,Harappa,seal,1,False,R-L
SYN-00158,S004 S069 S001,Mohenjo-daro,seal,1,False,R-L
SYN-00159,S004 S063,Dholavira,seal,1,False,R-L
SYN-00160,S112 S001 S031 S061,Kalibangan,seal,2,False,R-L
SYN-00161,S003 S051 S006,Mohenjo-daro,seal,1,False,R-L
SYN-00162,S003 S015 S075 S001 S103 S004 S001 S001,Mohenjo-daro,seal,1,False,R-L
SYN-00163,S036 S004 S023 S011 S073 S001,Lothal,seal,1,False,R-L
SYN-00164,S003 S001,Harappa,seal,1,False,R-L
SYN-00165,S037 S002 S053 S008,Kalibangan,seal,1,False,R-L
SYN-00166,S004 S069 S006 S065 S048,Kalibangan,seal,1,False,R-L
SYN-00167,S005 S004 S069 S007,Dholavira,seal,1,False,R-L
SYN-00168,S004 S069 S089 S049,Mohenjo-daro,pottery,1,False,R-L
SYN-00169,S081 S022 S048,Mohenjo-daro,seal,1,True,R-L
SYN-00170,S004,Mohenjo-daro,tablet,1,False,R-L
SYN-00171,S014 S004 S069 S015 S075 S001 S001,Lothal,seal,1,False,R-L
SYN-00172,S004 S069 S017 S003,Kalibangan,seal,1,False,R-L
SYN-00173,S004,Harappa,seal,1,True,R-L
SYN-00174,S004 S001,Lothal,seal,1,False,R-L
SYN-00175,S005 S075 S002 S001 S065 S001 S001,Mohenjo-daro,seal,1,False,R-L
SYN-00176,S009 S012 S029 S003 S021 S005 S002,Dholavira,seal,2,False,R-L
SYN-00177,S023 S031 S009 S001,Dholavira,ivory,1,False,R-L
SYN-00178,S066 S020 S001,Lothal,seal,1,False,R-L
SYN-00179,S005 S075 S001,Dholavira,seal,1,False,R-L
SYN-00180,S004,Lothal,seal,1,False,R-L
SYN-00181,S056 S098 S054 S001,Kalibangan,pottery,1,True,R-L
SYN-00182,S005 S014 S014 S008,Lothal,seal,1,False,R-L
SYN-00183,S003 S014 S002 S007 S008 S054 S068,Dholavira,pottery,1,False,R-L
SYN-00184,S037 S001 S007 S007 S001 S005 S001,Kalibangan,pottery,1,False,R-L
SYN-00185,S003 S014 S003,Mohenjo-daro,tablet,1,False,R-L
SYN-00186,S023 S001 S001,Mohenjo-daro,copper_plate,1,False,R-L
SYN-00187,S003 S019 S003,Lothal,pottery,1,False,R-L
SYN-00188,S003 S009 S012 S029 S039 S001 S001,Dholavira,tablet,1,False,R-L
SYN-00189,S001 S001 S006,Harappa,seal,1,False,R-L
SYN-00190,S001 S001,Dholavira,tablet,1,True,R-L
SYN-00191,S010 S004,Harappa,seal,2,True,R-L
SYN-00192,S005 S075 S070 S109 S001 S027 S018,Dholavira,seal,1,False,R-L
SYN-00193,S001 S001,Dholavira,tablet,1,True,R-L
SYN-00194,S004 S069 S100 S009 S016 S001,Lothal,tablet,1,False,R-L
SYN-00195,S003 S004 S069 S003 S016 S016,Harappa,seal,1,False,R-L
SYN-00196,S005 S001,Dholavira,tablet,1,False,R-L
SYN-00197,S119 S001 S010 S115 S015 S075 S002,Mohenjo-daro,seal,1,False,R-L
SYN-00198,S005 S075 S002 S001,Harappa,seal,1,False,R-L
SYN-00199,S002 S017 S007 S013 S005 S075 S005 S001 S001,Dholavira,pottery,1,False,R-L
